ID,Min of Date Sent,Max of Date Sent,Days In Production,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.0613E+11,8/31/2022,11/8/2022,69,,,,,,,,
1.06127E+11,8/31/2022,11/7/2022,68,,,,,,,,
1.06127E+11,8/31/2022,11/7/2022,68,,,,,,,,
1.06859E+11,10/31/2022,1/6/2023,67,,,,,,,,
1.06859E+11,10/31/2022,1/6/2023,67,,,,,,,,
1.07565E+11,1/9/2023,3/16/2023,66,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.05733E+11,7/27/2022,9/30/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.06127E+11,8/31/2022,11/4/2022,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.07565E+11,1/9/2023,3/15/2023,65,,,,,,,,
1.06127E+11,8/31/2022,11/3/2022,64,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.06127E+11,8/31/2022,11/2/2022,63,,,,,,,,
1.07565E+11,1/9/2023,3/9/2023,59,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.05733E+11,7/27/2022,9/23/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.06127E+11,8/31/2022,10/28/2022,58,,,,,,,,
1.07565E+11,1/9/2023,3/8/2023,58,,,,,,,,
1.07565E+11,1/9/2023,3/8/2023,58,,,,,,,,
1.07565E+11,1/9/2023,3/8/2023,58,,,,,,,,
1.07565E+11,1/9/2023,3/8/2023,58,,,,,,,,
1.07565E+11,1/9/2023,3/8/2023,58,,,,,,,,
1.07565E+11,1/9/2023,3/8/2023,58,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/27/2022,57,,,,,,,,
1.06127E+11,8/31/2022,10/26/2022,56,,,,,,,,
1.07565E+11,1/9/2023,3/6/2023,56,,,,,,,,
